                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5832,                 3.8146,                 2.7456,                0.00055,                0.17269,                0.01202,                0.00187,                  3.528,                 3.8197,                 2.7082,               0.067146,             3.2857e-06,             3.2857e-06
                      2,                 3.4141,                 3.6391,                 2.6523,                0.00128,                0.20143,                0.00552,                0.00141,                 3.4941,                 3.9198,                 2.6471,               0.033816,             6.6124e-06,             6.6124e-06
                      3,                  3.374,                 3.6918,                 2.6016,                0.00215,                0.22153,                 0.0077,                0.00183,                 3.3787,                 3.9433,                 2.6005,             0.00048612,             9.9325e-06,             9.9325e-06
                      4,                 3.3378,                 3.6837,                 2.5873,                0.37581,                0.00402,                 0.0051,                0.00143,                 3.4101,                 4.0666,                 2.7053,               9.97e-06,               9.97e-06,               9.97e-06
                      5,                 3.3327,                  3.646,                 2.5868,                0.00402,                0.28359,                0.00616,                0.00183,                 3.4073,                 4.0659,                 2.7021,               9.97e-06,               9.97e-06,               9.97e-06
                      6,                 3.3272,                 3.6684,                 2.5654,                0.34919,                0.00402,                0.00501,                0.00136,                 3.3567,                 4.0591,                 2.6597,               9.96e-06,               9.96e-06,               9.96e-06
                      7,                 3.2646,                   3.65,                 2.5563,                0.36935,                0.00402,                0.00506,                0.00137,                 3.3826,                 4.0424,                 2.6838,             9.9501e-06,             9.9501e-06,             9.9501e-06
                      1,                 2.2298,                 2.9214,                 1.9528,                0.41803,                0.12151,                0.05392,                0.01849,                 2.4919,                 4.1185,                 2.2644,               0.067146,             3.2857e-06,             3.2857e-06
                      2,                 2.0504,                 2.3996,                 1.8728,                0.28995,                0.23992,                0.13174,                0.05495,                 2.1398,                 3.1113,                 2.0148,               0.033816,             6.6124e-06,             6.6124e-06
                      3,                 1.9137,                 2.1773,                 1.7689,                0.32302,                0.29445,                0.19078,                0.07458,                 2.1232,                 2.6033,                 1.9712,             0.00048612,             9.9325e-06,             9.9325e-06
                      4,                 1.9338,                 2.1473,                 1.7463,                0.33901,                0.33448,                0.25467,                0.10393,                 2.0189,                 2.2883,                 1.9373,               9.97e-06,               9.97e-06,               9.97e-06
                      5,                 1.8479,                 2.0259,                 1.7338,                0.32307,                0.37376,                0.27516,                0.11357,                 1.9647,                 2.4263,                 1.9148,               9.97e-06,               9.97e-06,               9.97e-06
                      6,                 1.8775,                 1.9982,                 1.7255,                0.43998,                0.33174,                0.29656,                0.12172,                 1.9281,                 2.2239,                 1.8752,               9.96e-06,               9.96e-06,               9.96e-06
                      7,                 1.7573,                 1.9298,                 1.6684,                0.52845,                0.31801,                0.30885,                0.13173,                 1.9093,                  2.167,                 1.8217,             9.9501e-06,             9.9501e-06,             9.9501e-06
                      8,                 1.8253,                 1.8479,                 1.6885,                0.36515,                0.43233,                0.33311,                0.14032,                 1.8862,                 2.1761,                 1.8168,             9.9401e-06,             9.9401e-06,             9.9401e-06
                      9,                 1.7836,                 1.8788,                   1.67,                 0.3871,                0.43102,                0.33483,                0.14122,                 1.8784,                   2.25,                 1.8088,             9.9301e-06,             9.9301e-06,             9.9301e-06
                     10,                 1.7403,                 1.7602,                 1.6285,                0.46664,                 0.3862,                0.35545,                0.15831,                 1.8626,                 2.1141,                 1.7813,             9.9201e-06,             9.9201e-06,             9.9201e-06
                     11,                 1.7271,                 1.7277,                 1.6057,                0.47111,                0.42124,                0.39261,                0.17671,                   1.85,                 1.9416,                 1.7802,             9.9101e-06,             9.9101e-06,             9.9101e-06
                     12,                  1.651,                  1.658,                 1.5773,                0.55779,                0.43455,                0.40035,                0.17589,                 1.8156,                 1.9163,                 1.7649,             9.9001e-06,             9.9001e-06,             9.9001e-06
                     13,                 1.6732,                 1.6324,                 1.5744,                0.49295,                0.45472,                0.41028,                0.17931,                 1.7812,                  1.867,                 1.7451,             9.8901e-06,             9.8901e-06,             9.8901e-06
                     14,                 1.6478,                 1.5675,                 1.5652,                0.46299,                0.44922,                0.41557,                 0.1863,                 1.7904,                 1.8708,                 1.7468,             9.8801e-06,             9.8801e-06,             9.8801e-06
                     15,                 1.6595,                 1.5964,                 1.5718,                0.48772,                0.46817,                0.42524,                0.19033,                 1.7771,                 1.9086,                 1.7088,             9.8701e-06,             9.8701e-06,             9.8701e-06
                     16,                 1.6057,                 1.5399,                 1.5202,                0.56918,                0.44876,                0.44469,                0.20304,                 1.7619,                 1.8042,                 1.7061,             9.8601e-06,             9.8601e-06,             9.8601e-06
                     17,                 1.5895,                 1.4859,                 1.5205,                0.62171,                 0.3906,                0.42821,                0.19468,                 1.7505,                  1.864,                 1.7125,             9.8502e-06,             9.8502e-06,             9.8502e-06
                     18,                  1.628,                 1.4949,                 1.5304,                0.57458,                0.41856,                0.44047,                0.20556,                 1.7564,                 1.8228,                 1.7212,             9.8402e-06,             9.8402e-06,             9.8402e-06
                     19,                 1.5862,                 1.4412,                 1.5221,                0.55089,                0.47101,                0.45367,                0.20602,                 1.7524,                 1.8395,                 1.7085,             9.8302e-06,             9.8302e-06,             9.8302e-06
