                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0075,                 3.6553,                 3.2696,                 0.0002,                 0.0241,                0.00019,                  6e-05,                    nan,                    nan,                    nan,               0.067146,             3.2857e-06,             3.2857e-06
                      2,                 3.9162,                 3.4535,                 2.9848,                0.00397,                0.11609,                0.00541,                0.00107,                    nan,                    nan,                    nan,               0.033816,              6.586e-06,              6.586e-06
                      3,                 3.8973,                 3.4637,                 2.9483,                0.00338,                0.13199,                0.00734,                0.00135,                    nan,                    nan,                    nan,             0.00048604,              9.853e-06,              9.853e-06
                      4,                 3.8846,                 3.4582,                 2.9505,                0.00353,                0.16072,                0.00743,                0.00111,                    nan,                    nan,                    nan,             9.8502e-06,             9.8502e-06,             9.8502e-06
                      5,                 3.8955,                 3.4598,                 2.9251,                0.00333,                0.15497,                0.00512,                0.00085,                    nan,                    nan,                    nan,             9.8502e-06,             9.8502e-06,             9.8502e-06
                      6,                 3.8741,                 3.4518,                 2.9147,                0.00336,                0.15497,                0.00562,                0.00093,                    nan,                    nan,                    nan,             9.8002e-06,             9.8002e-06,             9.8002e-06
                      7,                 3.8772,                 3.4137,                 2.9031,                0.00344,                0.16207,                0.00625,                0.00104,                    nan,                    nan,                    nan,             9.7503e-06,             9.7503e-06,             9.7503e-06
                      8,                 3.8902,                 3.4142,                 2.9126,                0.00362,                0.16072,                0.00574,                0.00104,                    nan,                    nan,                    nan,             9.7003e-06,             9.7003e-06,             9.7003e-06
                      9,                 3.8763,                 3.4374,                 2.9101,                0.00341,                0.16072,                0.00452,                0.00087,                    nan,                    nan,                    nan,             9.6503e-06,             9.6503e-06,             9.6503e-06
                     10,                 3.8915,                 3.3894,                 2.9387,                0.00355,                0.17356,                0.00679,                0.00109,                    nan,                    nan,                    nan,             9.6004e-06,             9.6004e-06,             9.6004e-06
                     11,                 3.8731,                 3.3767,                 2.9048,                0.00328,                0.16207,                0.00521,                0.00096,                    nan,                    nan,                    nan,             9.5504e-06,             9.5504e-06,             9.5504e-06
                     12,                 3.8477,                 3.4243,                 2.9179,                 0.0034,                0.16781,                0.00572,                0.00106,                    nan,                    nan,                    nan,             9.5005e-06,             9.5005e-06,             9.5005e-06
                     13,                 3.8179,                 3.3926,                  2.879,                  0.003,                0.14348,                 0.0051,                0.00099,                    nan,                    nan,                    nan,             9.4506e-06,             9.4506e-06,             9.4506e-06
                     14,                 3.8741,                 3.3585,                  2.917,                0.00347,                0.16781,                0.00568,                0.00103,                    nan,                    nan,                    nan,             9.4006e-06,             9.4006e-06,             9.4006e-06
                     15,                 3.8314,                 3.3544,                 2.9039,                0.00336,                0.16207,                0.00617,                0.00108,                    nan,                    nan,                    nan,             9.3507e-06,             9.3507e-06,             9.3507e-06
                     16,                 3.8223,                 3.3691,                 2.8877,                0.00344,                0.16207,                0.00669,                0.00116,                    nan,                    nan,                    nan,             9.3007e-06,             9.3007e-06,             9.3007e-06
                     17,                 3.8568,                 3.3702,                 2.9206,                0.00329,                0.15632,                 0.0051,                0.00103,                    nan,                    nan,                    nan,             9.2508e-06,             9.2508e-06,             9.2508e-06
                     18,                 3.8414,                 3.3783,                 2.8855,                 0.0032,                0.15632,                0.00492,                0.00094,                    nan,                    nan,                    nan,             9.2008e-06,             9.2008e-06,             9.2008e-06
                     19,                 3.8721,                 3.3383,                 2.9038,                0.00371,                0.17356,                0.00672,                0.00123,                    nan,                    nan,                    nan,             9.1509e-06,             9.1509e-06,             9.1509e-06
                     20,                 3.8479,                 3.3685,                 2.8983,                0.00361,                0.17491,                0.00527,                0.00107,                    nan,                    nan,                    nan,             9.1009e-06,             9.1009e-06,             9.1009e-06
                     21,                 3.8235,                  3.346,                 2.8842,                0.00364,                0.17356,                0.00615,                0.00116,                    nan,                    nan,                    nan,              9.051e-06,              9.051e-06,              9.051e-06
                     22,                 3.8046,                 3.3688,                 2.8907,                0.00352,                0.17491,                0.00623,                0.00119,                    nan,                    nan,                    nan,              9.001e-06,              9.001e-06,              9.001e-06
                     23,                 3.8493,                 3.3708,                 2.8834,                0.00343,                0.16781,                0.00551,                0.00109,                    nan,                    nan,                    nan,             8.9511e-06,             8.9511e-06,             8.9511e-06
                     24,                 3.8122,                 3.3446,                 2.8787,                0.00321,                0.15497,                0.00572,                0.00114,                    nan,                    nan,                    nan,             8.9011e-06,             8.9011e-06,             8.9011e-06
                     25,                 3.8593,                 3.3219,                 2.9044,                0.00339,                0.16916,                0.00496,                0.00098,                    nan,                    nan,                    nan,             8.8512e-06,             8.8512e-06,             8.8512e-06
                     26,                 3.8261,                 3.3234,                 2.9055,                0.00339,                0.16781,                0.00486,                0.00102,                    nan,                    nan,                    nan,             8.8012e-06,             8.8012e-06,             8.8012e-06
                     27,                 3.8052,                 3.3268,                 2.8423,                0.00313,                0.15632,                0.00511,                0.00115,                    nan,                    nan,                    nan,             8.7513e-06,             8.7513e-06,             8.7513e-06
                     28,                 3.8152,                 3.3932,                  2.895,                 0.0033,                0.16916,                0.00461,                0.00102,                    nan,                    nan,                    nan,             8.7013e-06,             8.7013e-06,             8.7013e-06
                     29,                 3.8119,                 3.3368,                 2.8811,                0.02603,                 0.0523,                 0.0074,                0.00164,                    nan,                    nan,                    nan,             8.6513e-06,             8.6513e-06,             8.6513e-06
                     30,                 3.8002,                 3.3101,                 2.8434,                0.00343,                0.17625,                0.00559,                0.00113,                    nan,                    nan,                    nan,             8.6014e-06,             8.6014e-06,             8.6014e-06
                     31,                 3.8763,                 3.3309,                 2.8886,                0.00337,                0.17625,                0.00751,                0.00135,                    nan,                    nan,                    nan,             8.5514e-06,             8.5514e-06,             8.5514e-06
                     32,                 3.8359,                 3.3209,                 2.8966,                0.00317,                 0.1705,                0.00638,                0.00124,                    nan,                    nan,                    nan,             8.5015e-06,             8.5015e-06,             8.5015e-06
                     33,                 3.7979,                 3.3242,                 2.8567,                0.00355,                0.18774,                0.00623,                0.00124,                    nan,                    nan,                    nan,             8.4516e-06,             8.4516e-06,             8.4516e-06
                     34,                 3.7691,                 3.3006,                 2.8684,                0.00356,                0.18065,                 0.0082,                0.00156,                    nan,                    nan,                    nan,             8.4016e-06,             8.4016e-06,             8.4016e-06
                     35,                 3.8005,                 3.2898,                 2.8641,                0.00338,                0.17491,                0.00633,                 0.0015,                    nan,                    nan,                    nan,             8.3516e-06,             8.3516e-06,             8.3516e-06
