                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8723,                 2.9848,                 2.0792,                0.43337,                0.13304,                 0.0824,                0.02215,                  2.648,                 8.6601,                 3.0167,               0.067236,             0.00033095,             0.00033095
                      2,                 1.8627,                 2.7431,                  2.074,                0.16423,                0.11707,                0.08889,                0.04047,                 2.5921,                 9.0151,                 2.7933,               0.034229,             0.00065771,             0.00065771
                      3,                  1.835,                 2.6432,                 2.0765,                0.15627,                 0.2495,                0.08979,                0.03348,                 2.6045,                 5.5151,                  2.893,               0.001216,             0.00097787,             0.00097787
                      4,                 1.8308,                 2.5615,                  2.056,                0.33127,                0.29289,                0.26895,                0.10234,                 1.9488,                 3.4162,                  2.273,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.8288,                 2.5171,                 2.0448,                0.28459,                0.28011,                 0.2298,                0.07695,                  2.153,                 4.2648,                 2.4284,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.736,                 2.4424,                 2.0016,                0.35448,                0.32413,                0.21805,                0.08221,                  2.201,                 3.5714,                 2.4839,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7446,                 2.3726,                 1.9972,                0.31419,                0.28715,                0.25125,                0.09487,                 2.0511,                 2.6187,                 2.2681,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7008,                 2.3441,                 1.9358,                0.41567,                0.38368,                 0.3192,                0.11994,                 2.0573,                 2.4545,                 2.2151,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6016,                 2.2277,                 1.8871,                0.30703,                0.33913,                0.26544,                 0.1073,                 1.9825,                 2.7471,                 2.2231,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6628,                 2.1979,                 1.9014,                0.38065,                0.37221,                0.32398,                0.12507,                 1.8963,                 2.4881,                 2.1513,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6122,                 2.2113,                 1.8875,                0.37738,                0.41974,                0.32616,                0.13598,                 1.9393,                 2.2837,                 2.1655,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6105,                 2.1114,                 1.8694,                0.39469,                0.36766,                0.30124,                0.13303,                 1.9294,                  2.544,                 2.1618,               0.000901,               0.000901,               0.000901
                     13,                 1.6048,                 2.1182,                 1.8692,                0.46774,                0.34177,                0.31144,                0.11854,                 2.2036,                 2.6432,                 2.3365,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5905,                  2.107,                 1.8467,                0.63772,                0.36481,                0.42723,                0.17989,                 1.8283,                 2.0999,                 2.1214,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5402,                 2.0296,                 1.8088,                0.53738,                0.44023,                0.44261,                0.19349,                 1.9018,                 2.4714,                 2.1754,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5572,                  2.024,                 1.8209,                0.48488,                0.47028,                   0.41,                0.19321,                 1.8243,                 2.1492,                 2.0528,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5139,                 1.9807,                 1.8009,                0.55898,                0.38562,                 0.4285,                0.19967,                 1.7557,                 2.0039,                 2.1381,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5073,                 1.9832,                 1.8014,                 0.3539,                0.33566,                0.27803,                0.11849,                 2.4687,                  3.346,                 2.5498,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4891,                 1.8972,                 1.7717,                0.49174,                 0.4858,                0.42872,                0.19533,                 1.9163,                 2.1367,                 2.1389,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4604,                 1.9107,                 1.7466,                0.33157,                0.47247,                 0.3502,                0.15229,                 2.0101,                  2.784,                 2.2758,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4672,                 1.8854,                 1.7671,                0.42615,                0.52218,                0.43683,                0.19036,                 1.9048,                 2.0773,                 2.1345,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4547,                 1.8057,                 1.7291,                 0.4909,                0.45755,                0.43794,                0.20364,                 1.7509,                 2.0017,                  2.047,               0.000802,               0.000802,               0.000802
                     23,                 1.4419,                 1.7965,                 1.7298,                0.37198,                 0.4877,                0.37084,                0.16175,                 1.9476,                 2.7464,                  2.149,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.408,                 1.7567,                 1.6883,                0.40834,                0.45204,                0.39989,                0.17802,                 1.8385,                 2.3107,                 2.0562,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4315,                 1.7444,                  1.717,                0.56339,                0.50575,                0.47963,                0.21334,                 1.8446,                 2.1526,                 2.1331,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4144,                 1.7324,                 1.6973,                0.53181,                0.54025,                0.46279,                0.20814,                 1.8799,                 1.9561,                 2.1543,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4387,                  1.788,                   1.72,                0.54144,                0.48487,                0.48619,                0.22509,                 1.8467,                 1.8905,                 2.1174,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.3914,                 1.7337,                 1.6907,                0.52483,                0.50265,                0.46523,                0.22324,                 1.7962,                 1.8854,                 2.1335,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.3632,                 1.6643,                 1.6616,                0.53468,                0.52565,                0.47784,                0.20767,                  1.922,                 1.9346,                 2.1725,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.3806,                 1.7068,                 1.6702,                0.55874,                0.50246,                0.49135,                0.21319,                  1.946,                 2.0264,                 2.2011,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.3476,                 1.6188,                 1.6474,                0.54485,                0.57525,                0.53872,                0.22673,                 1.8986,                 2.0045,                 2.1749,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.2942,                 1.5218,                 1.6127,                0.55163,                0.51188,                   0.48,                0.22114,                 1.8419,                 2.0137,                 2.1741,               0.000703,               0.000703,               0.000703
                     33,                  1.307,                 1.5598,                 1.6212,                0.57819,                0.48272,                 0.4864,                0.22651,                 1.8779,                 2.0361,                 2.1199,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.2942,                 1.5107,                 1.6127,                0.49679,                 0.5292,                0.47294,                0.20408,                 2.0106,                 1.9599,                 2.2818,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.2819,                 1.5404,                 1.6007,                0.66641,                0.48044,                0.52432,                0.23089,                 1.8505,                 1.7503,                 2.1517,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3188,                 1.5532,                 1.6172,                 0.6218,                0.46373,                0.48793,                0.20704,                    1.9,                 1.8476,                 2.2318,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.2713,                 1.5382,                 1.5971,                0.58553,                0.54066,                0.56279,                0.23492,                  1.828,                 1.7244,                 2.1301,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.2344,                 1.4314,                 1.5593,                0.64654,                0.48264,                 0.5197,                0.25065,                 1.7894,                 1.7471,                 2.0677,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.2395,                 1.4291,                 1.5666,                0.55591,                0.51413,                0.53272,                0.24208,                 1.8778,                 1.7413,                 2.2035,              0.0006337,              0.0006337,              0.0006337
                     40,                   1.23,                 1.4084,                 1.5636,                0.58689,                0.50116,                0.48533,                0.21363,                 1.9328,                 1.9748,                 2.2423,              0.0006238,              0.0006238,              0.0006238
                     41,                  1.258,                 1.4348,                 1.5654,                0.68316,                 0.4943,                0.51777,                0.24858,                 1.8132,                 1.6549,                 2.1044,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2089,                 1.3769,                 1.5238,                0.52052,                0.57606,                0.51145,                0.23113,                 1.9051,                 1.9103,                 2.2046,               0.000604,               0.000604,               0.000604
                     43,                 1.1892,                 1.3612,                 1.5208,                0.62188,                0.54349,                0.55546,                0.24251,                 1.8619,                 1.7146,                 2.1932,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.1803,                 1.3578,                 1.5016,                 0.6928,                 0.4915,                0.54135,                0.25319,                 1.8788,                 1.6007,                 2.1942,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2018,                 1.3225,                  1.519,                0.59244,                0.53395,                0.52651,                0.23984,                 1.8784,                 1.6065,                 2.1917,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.1666,                 1.3081,                 1.5032,                0.61672,                0.58429,                0.57154,                0.26289,                 1.8326,                 1.6228,                 2.1493,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.1241,                 1.2497,                 1.4751,                0.60928,                0.50958,                0.51901,                0.22935,                 1.9076,                 1.7008,                 2.2146,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.1359,                 1.2685,                 1.4793,                0.58411,                0.51366,                0.48482,                0.22618,                 1.9353,                 1.8554,                 2.2299,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.1406,                 1.2495,                 1.4864,                0.61853,                0.59056,                0.55108,                0.24242,                 1.8985,                 1.6968,                 2.2161,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.1103,                 1.2348,                  1.456,                0.51706,                0.51844,                0.48745,                0.22218,                 1.9489,                 1.8655,                 2.3025,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.1003,                 1.1827,                 1.4396,                0.62515,                0.52369,                0.54077,                0.24702,                 1.9517,                  1.702,                   2.25,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.1196,                 1.2093,                 1.4519,                0.64339,                0.57378,                0.55779,                0.24753,                 1.8724,                 1.6243,                 2.1623,               0.000505,               0.000505,               0.000505
                     53,                 1.1179,                 1.2266,                 1.4513,                0.59583,                0.58231,                0.54493,                0.24345,                   1.87,                 1.6296,                 2.1991,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.0922,                 1.1678,                  1.433,                0.54008,                0.56468,                0.53678,                0.24015,                 1.8826,                 1.7617,                 2.2253,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.0742,                 1.1639,                 1.4331,                0.63966,                0.53115,                0.54261,                0.24387,                 1.8793,                 1.7073,                  2.215,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.0933,                 1.1338,                 1.4287,                0.60392,                0.53752,                0.52219,                0.23587,                 1.9366,                 1.7598,                 2.2487,              0.0004654,              0.0004654,              0.0004654
