                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7226,                 2.8043,                 1.9497,                0.09372,                0.27701,                0.10251,                0.04003,                   2.25,                 6.6324,                 2.5083,               0.067157,             0.00033175,             0.00033175
                      2,                 1.7473,                 2.6627,                 1.9768,                0.13991,                0.46121,                0.14347,                0.05189,                 2.4106,                 7.7936,                 2.6112,               0.034151,              0.0006585,              0.0006585
                      3,                 1.7686,                  2.665,                  2.005,                0.24517,                0.23043,                0.09145,                0.03208,                 2.0269,                 3.5689,                 2.3712,              0.0011374,             0.00097864,             0.00097864
                      4,                 1.7029,                 2.5388,                 1.9587,                0.27899,                0.26888,                0.19796,                0.07368,                 2.3044,                 2.9496,                 2.4964,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6775,                 2.4737,                 1.9335,                0.23876,                0.30034,                0.21882,                 0.0982,                 2.1278,                 3.0134,                   2.29,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.646,                 2.3887,                 1.8908,                0.37687,                 0.2733,                 0.2538,                0.10351,                 1.9285,                 2.8348,                 2.2081,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5943,                 2.2879,                 1.8518,                0.43766,                0.34489,                0.30186,                0.12751,                 2.0154,                 2.8747,                 2.0927,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5829,                 2.2508,                 1.8427,                0.42427,                0.31545,                0.30693,                0.12336,                 2.0604,                 2.5478,                 2.1855,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5687,                 2.2387,                 1.8417,                0.59817,                0.25702,                0.26493,                0.11072,                 2.0586,                 2.5266,                  2.152,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5544,                 2.1884,                 1.8091,                  0.436,                0.37274,                0.33607,                0.13625,                 1.9504,                 2.7452,                 2.1546,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5185,                 2.1263,                 1.7981,                0.34449,                0.40239,                0.33339,                0.13826,                 2.0837,                 2.6083,                 2.1953,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4994,                  2.116,                 1.7863,                 0.5339,                0.41943,                0.38421,                0.16742,                 1.8244,                 2.0595,                  2.077,               0.000901,               0.000901,               0.000901
                     13,                 1.4952,                 2.0722,                 1.7934,                0.40201,                0.37334,                0.33975,                 0.1377,                 2.0017,                 2.3773,                 2.1852,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4776,                 2.0563,                 1.7704,                0.48692,                0.39846,                0.36956,                0.15498,                 1.9678,                 2.5737,                 2.1386,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.464,                 1.9833,                 1.7674,                0.51041,                0.45307,                0.40367,                0.17084,                 1.8639,                 2.2181,                 2.0677,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4592,                 2.0122,                 1.7542,                0.43999,                 0.3261,                0.33803,                0.13577,                 2.0876,                 2.9607,                 2.2365,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3988,                 1.9223,                 1.7214,                0.41345,                0.48724,                0.36028,                0.15487,                 1.8267,                 2.2064,                 2.0776,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4119,                  1.925,                 1.7187,                0.49603,                 0.3906,                0.37473,                0.16577,                 1.8669,                  2.434,                  2.082,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4176,                 1.8589,                 1.7177,                0.50207,                0.49653,                0.42934,                0.19233,                 1.8432,                 2.1285,                 2.0925,              0.0008317,              0.0008317,              0.0008317
                     20,                  1.393,                 1.8586,                  1.704,                0.59714,                0.42853,                 0.4694,                0.21982,                 1.7915,                  1.979,                 2.0177,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.3898,                 1.8543,                 1.6942,                0.53748,                0.37207,                0.40239,                0.17958,                 1.8045,                 2.2116,                 2.0303,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.347,                 1.8054,                 1.6742,                0.48933,                0.53732,                0.49238,                0.22865,                 1.7739,                 1.8639,                  2.008,               0.000802,               0.000802,               0.000802
                     23,                 1.3814,                 1.8216,                 1.6857,                0.52591,                0.56242,                0.48681,                0.20853,                 1.7229,                  2.051,                 1.9522,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.3435,                 1.7694,                 1.6634,                0.59959,                0.40821,                0.43772,                0.19193,                 1.8334,                  1.992,                 2.0175,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.3581,                 1.7604,                 1.6656,                0.36967,                0.53366,                0.43407,                0.17898,                 1.9083,                 2.2314,                 2.1073,              0.0007723,              0.0007723,              0.0007723
                     26,                  1.329,                 1.6759,                 1.6541,                0.54158,                0.51891,                 0.5184,                0.23202,                 1.8071,                 1.8444,                  2.029,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.2948,                 1.7084,                  1.624,                0.64253,                0.51455,                0.52302,                0.23811,                 1.7771,                 1.7419,                 1.9693,              0.0007525,              0.0007525,              0.0007525
