                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6838,                 2.7363,                 1.9518,                0.08321,                0.23406,                0.04101,                0.01197,                  2.394,                 11.659,                 2.5947,               0.067118,             0.00033214,             0.00033214
                      2,                 1.7021,                 2.6126,                 1.9533,                0.13487,                0.21403,                0.11137,                 0.0451,                 2.6382,                 3.8223,                 2.7498,               0.034112,             0.00065888,             0.00065888
                      3,                 1.6481,                 2.4772,                 1.9081,                0.34587,                 0.3192,                0.22655,                0.08179,                 2.2515,                 3.4692,                 2.4042,              0.0010985,             0.00097903,             0.00097903
                      4,                  1.645,                 2.4403,                 1.9048,                0.36273,                 0.2772,                0.21018,                0.07956,                 2.2026,                 3.4242,                 2.3861,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5751,                 2.3266,                 1.8521,                0.45706,                  0.343,                 0.3227,                0.11532,                 2.0873,                 2.8219,                  2.242,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.5559,                 2.2852,                 1.8394,                    0.4,                0.31526,                0.26944,                0.10882,                 2.0389,                  2.732,                 2.1757,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5292,                 2.2288,                 1.8201,                0.28856,                0.44081,                0.27844,                0.12227,                 1.9062,                 3.0901,                 2.1709,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.4748,                 2.1484,                 1.7853,                0.28992,                0.31985,                 0.2421,                0.09644,                 2.0667,                 2.8171,                 2.2601,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4701,                 2.0892,                 1.7794,                0.42479,                0.41799,                0.36613,                0.14929,                 1.9597,                 2.2986,                 2.1774,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4273,                 2.0308,                 1.7538,                0.48326,                0.36846,                 0.3311,                0.13372,                 1.8967,                 2.4596,                 2.0659,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.416,                  2.001,                 1.7419,                0.51136,                0.38198,                0.35696,                0.14843,                 2.0025,                 2.2699,                 2.1769,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4001,                 1.9763,                 1.7206,                0.48038,                0.40547,                0.39616,                0.17488,                 1.9077,                 2.1236,                 2.0588,               0.000901,               0.000901,               0.000901
                     13,                 1.3983,                 1.9237,                 1.7139,                0.52606,                0.42319,                 0.4009,                0.17133,                 1.8891,                 2.2889,                 2.1204,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3653,                  1.882,                 1.6923,                0.60442,                  0.383,                0.39962,                0.18061,                 1.8483,                 2.2201,                 2.0405,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3547,                 1.8771,                 1.6925,                0.58777,                0.37707,                0.39582,                0.17317,                 1.9886,                 2.6263,                 2.1359,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3754,                 1.8478,                 1.6889,                0.59641,                0.39344,                0.42933,                0.17655,                 1.9013,                  2.148,                 2.0717,              0.0008614,              0.0008614,              0.0008614
