                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2955,                 1.6869,                 1.6176,                0.49101,                0.43334,                0.44971,                0.20666,                 1.8563,                 2.2206,                 2.0596,               0.067118,             0.00033214,             0.00033214
                      2,                 1.2837,                 1.6942,                 1.5996,                 0.5505,                0.51496,                0.47848,                 0.2171,                 1.9125,                 2.0767,                  2.129,               0.034112,             0.00065888,             0.00065888
                      3,                 1.2849,                 1.6886,                 1.6215,                0.46247,                 0.4569,                0.46001,                0.20581,                 2.0868,                 2.5537,                 2.1978,              0.0010985,             0.00097903,             0.00097903
                      4,                 1.3047,                 1.6957,                 1.6274,                0.52812,                0.41731,                0.39228,                 0.1559,                 2.1728,                 2.4361,                 2.3403,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2837,                 1.6549,                 1.6199,                0.54767,                0.47558,                0.48633,                0.21881,                 1.8407,                 2.4906,                 2.0604,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.2792,                 1.6712,                  1.618,                 0.4756,                0.43498,                 0.4064,                0.16291,                 1.9131,                 2.2233,                 2.1491,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2681,                 1.6212,                 1.6038,                0.66534,                0.52544,                0.51172,                0.22012,                 1.8302,                 1.9616,                  2.029,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2355,                 1.6054,                 1.5869,                0.46142,                0.45134,                0.39465,                0.16185,                 2.0127,                 2.8476,                 2.1894,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2373,                  1.572,                 1.5776,                 0.5074,                0.43916,                 0.4234,                0.19072,                 1.9355,                  2.128,                 2.1106,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2197,                 1.5508,                 1.5662,                0.49158,                0.44305,                0.41214,                0.17487,                 1.8848,                 2.2012,                 2.0934,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.213,                 1.5405,                 1.5816,                0.52922,                0.49505,                0.44754,                0.19653,                  1.917,                 1.9929,                 2.1454,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.1968,                  1.535,                 1.5651,                0.57154,                0.51557,                0.51235,                0.23467,                 1.8732,                 1.7522,                 2.0385,               0.000901,               0.000901,               0.000901
                     13,                 1.1989,                 1.4898,                 1.5551,                0.55423,                0.48753,                0.50155,                 0.2153,                 1.8635,                 1.8623,                 2.0706,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1633,                 1.4683,                 1.5315,                0.56137,                0.46207,                0.46297,                0.19951,                 2.0037,                 1.9187,                 2.2428,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.165,                 1.4741,                  1.535,                0.63822,                0.49219,                0.49514,                 0.2151,                 1.9319,                 1.9076,                 2.1851,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.1788,                  1.448,                 1.5407,                0.44992,                0.51855,                0.46006,                0.19726,                 1.9371,                 1.9217,                 2.0949,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.123,                 1.3995,                 1.5017,                0.53336,                0.58505,                0.55535,                0.24516,                 1.8725,                 1.8609,                 2.1034,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.1402,                 1.3714,                 1.4974,                0.65712,                0.53598,                0.55603,                0.26008,                 1.7898,                 1.5902,                 1.9505,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.1412,                 1.3843,                 1.5009,                0.54697,                0.53104,                0.47315,                0.21934,                 1.8766,                 1.8256,                 2.0989,              0.0008317,              0.0008317,              0.0008317
                     20,                  1.115,                 1.3588,                 1.4865,                0.57279,                0.49604,                0.50971,                0.23384,                 1.8579,                 1.6965,                 2.0861,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.1101,                 1.3674,                 1.4927,                0.72375,                0.43925,                0.50428,                0.23178,                 1.8615,                  1.773,                 2.0789,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.0891,                 1.3215,                 1.4733,                0.50921,                0.56473,                0.50237,                 0.2269,                 1.8459,                 1.6718,                 2.0728,               0.000802,               0.000802,               0.000802
                     23,                 1.0924,                 1.3208,                 1.4729,                0.44733,                0.49207,                0.46301,                0.21049,                 2.0396,                 2.2517,                 2.1881,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0928,                 1.3112,                 1.4629,                0.61491,                0.50802,                0.51368,                0.22344,                 1.9767,                 1.8496,                 2.1884,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0885,                 1.3017,                 1.4545,                0.61819,                0.49714,                0.53472,                0.23387,                 1.8584,                 1.8071,                 2.0664,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0792,                 1.2918,                 1.4526,                0.58787,                0.53944,                0.53527,                0.25195,                 1.9065,                 1.6173,                 2.1395,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.0802,                 1.2896,                 1.4548,                0.58106,                0.51415,                 0.5231,                 0.2532,                 1.8587,                 1.8473,                 2.1035,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.0621,                 1.2509,                 1.4426,                0.57653,                0.51267,                0.48859,                0.23311,                 1.8485,                 1.9524,                 2.0994,              0.0007426,              0.0007426,              0.0007426
