                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2404,                 1.4516,                 1.5432,                0.41943,                0.59858,                0.45246,                0.19663,                 2.0649,                  2.075,                 2.3479,               0.067236,             0.00033095,             0.00033095
                      2,                 1.2465,                 1.4026,                 1.5587,                0.53444,                 0.4807,                0.46892,                0.21602,                 1.8863,                 1.8403,                 2.2314,               0.034229,             0.00065771,             0.00065771
                      3,                 1.2629,                 1.4719,                 1.5669,                0.49929,                 0.4901,                0.43293,                0.17943,                 1.9992,                 1.9732,                 2.3024,               0.001216,             0.00097787,             0.00097787
                      4,                 1.2406,                 1.4617,                  1.555,                0.64601,                0.43713,                0.48822,                0.20145,                 1.9633,                  1.862,                 2.3087,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2886,                 1.4748,                 1.5866,                0.44141,                0.43982,                0.40388,                0.16973,                 1.8883,                 2.0403,                 2.1942,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.2572,                 1.4692,                 1.5627,                0.51779,                0.56966,                0.53128,                0.23349,                 1.8855,                 1.8089,                 2.1844,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2652,                  1.429,                 1.5623,                0.57858,                0.50203,                0.47743,                0.22321,                 1.9564,                 1.7982,                 2.2085,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2505,                 1.4148,                  1.554,                0.56053,                0.52332,                0.48913,                 0.2154,                 1.9856,                 1.9326,                 2.3121,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2143,                 1.4313,                 1.5389,                0.67927,                0.40754,                0.47005,                0.21328,                 1.9755,                 1.8326,                 2.2439,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2273,                 1.3755,                 1.5265,                0.54733,                0.55653,                0.50797,                0.22756,                  1.858,                 1.8132,                 2.1491,              0.0009208,              0.0009208,              0.0009208
