                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.125,                 3.0915,                  2.101,                0.11895,                0.16548,                0.06524,                0.02332,                 2.1223,                 5.3532,                 2.4636,               0.067471,             0.00032857,             0.00032857
                      2,                 2.0442,                  2.631,                  2.092,                0.15401,                0.24134,                0.11607,                0.04146,                 2.1212,                 9.1991,                 2.6212,               0.034465,             0.00065535,             0.00065535
                      3,                 2.0161,                  2.528,                 2.1117,                0.22348,                0.34623,                0.16283,                0.06247,                 2.2168,                  6.028,                  2.399,              0.0014517,             0.00097553,             0.00097553
                      4,                 2.0248,                 2.4441,                 2.0428,                0.24608,                0.33392,                0.21754,                0.08711,                 2.2226,                 5.2573,                 2.4043,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9565,                  2.363,                 2.0908,                0.15465,                0.37893,                0.17518,                 0.0684,                  2.097,                 7.6003,                 2.4441,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.9911,                  2.402,                 2.0884,                0.27196,                0.42763,                0.27362,                0.09856,                 2.1429,                 3.0624,                 2.3204,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.9411,                  2.243,                 2.0228,                0.26488,                0.42737,                0.28665,                0.10718,                 2.0301,                 2.6148,                 2.2002,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.9399,                  2.263,                 2.0292,                0.32105,                0.39467,                0.26327,                0.11311,                   1.91,                 3.2447,                 2.1519,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.8659,                 2.2505,                  1.999,                  0.381,                0.38098,                0.31761,                0.14193,                 1.8465,                 3.0887,                 2.1172,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8285,                 2.1443,                   1.96,                0.45979,                0.30645,                0.31568,                0.14152,                  1.955,                 2.3735,                 2.2155,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8048,                 2.0586,                 1.8996,                0.36188,                0.38671,                0.29702,                0.13154,                 1.9616,                 2.7098,                 2.1312,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.815,                 2.0112,                  1.933,                0.59358,                0.33198,                0.39921,                0.17133,                 1.9131,                 2.3485,                 2.0893,               0.000901,               0.000901,               0.000901
