                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8276,                 2.7731,                  1.821,                0.78328,                0.04016,                0.05917,                0.02804,                    nan,                    nan,                    nan,               0.066829,             3.3175e-06,             3.3175e-06
                      2,                 1.6491,                 2.3951,                 1.6903,                0.26748,                0.16106,                0.10724,                0.03689,                    nan,                    nan,                    nan,               0.033499,             6.5844e-06,             6.5844e-06
                      3,                 1.6486,                 2.2999,                 1.6664,                0.34027,                0.16933,                0.13083,                0.05908,                    nan,                    nan,                    nan,             0.00016851,             9.7846e-06,             9.7846e-06
                      4,                  1.602,                 2.2265,                 1.6404,                 0.3381,                0.17096,                0.14763,                0.06217,                    nan,                    nan,                    nan,             9.7003e-06,             9.7003e-06,             9.7003e-06
                      5,                 1.5626,                 2.1579,                  1.622,                0.36795,                0.19327,                 0.1464,                0.06049,                    nan,                    nan,                    nan,             9.7003e-06,             9.7003e-06,             9.7003e-06
                      6,                 1.5895,                 2.1442,                 1.6285,                0.30779,                0.21184,                0.16802,                0.06479,                    nan,                    nan,                    nan,             9.6004e-06,             9.6004e-06,             9.6004e-06
                      7,                 1.5439,                 2.0564,                  1.594,                0.49997,                0.16665,                0.17247,                0.06404,                    nan,                    nan,                    nan,             9.5005e-06,             9.5005e-06,             9.5005e-06
                      8,                 1.5494,                 2.0754,                 1.5958,                0.36727,                 0.2061,                0.18648,                0.06858,                    nan,                    nan,                    nan,             9.4006e-06,             9.4006e-06,             9.4006e-06
                      9,                 1.5379,                 2.0624,                 1.5841,                0.41216,                0.21109,                0.19126,                0.07432,                    nan,                    nan,                    nan,             9.3007e-06,             9.3007e-06,             9.3007e-06
                     10,                 1.5499,                 2.0471,                 1.5928,                0.32072,                0.24333,                0.19168,                0.07089,                    nan,                    nan,                    nan,             9.2008e-06,             9.2008e-06,             9.2008e-06
                     11,                  1.544,                 2.0685,                 1.5768,                0.30239,                0.24892,                0.19076,                0.07523,                    nan,                    nan,                    nan,             9.1009e-06,             9.1009e-06,             9.1009e-06
                     12,                 1.5244,                 2.0302,                 1.5775,                0.38466,                0.21989,                0.19588,                0.07295,                    nan,                    nan,                    nan,              9.001e-06,              9.001e-06,              9.001e-06
                     13,                 1.5274,                 2.0015,                  1.559,                0.38096,                0.24474,                0.20812,                 0.0805,                    nan,                    nan,                    nan,             8.9011e-06,             8.9011e-06,             8.9011e-06
                     14,                  1.485,                  1.965,                 1.5587,                0.41163,                0.23786,                 0.2284,                0.09312,                    nan,                    nan,                    nan,             8.8012e-06,             8.8012e-06,             8.8012e-06
                     15,                 1.5006,                 1.9374,                 1.5575,                0.43884,                0.24329,                0.20772,                0.08021,                    nan,                    nan,                    nan,             8.7013e-06,             8.7013e-06,             8.7013e-06
                     16,                 1.5014,                 1.9196,                 1.5444,                0.34569,                0.25589,                0.20336,                0.08283,                    nan,                    nan,                    nan,             8.6014e-06,             8.6014e-06,             8.6014e-06
                     17,                 1.4873,                 1.9142,                 1.5361,                0.40116,                0.26952,                0.23022,                0.08939,                    nan,                    nan,                    nan,             8.5015e-06,             8.5015e-06,             8.5015e-06
                     18,                 1.4791,                 1.9226,                 1.5342,                0.42877,                0.27488,                0.22076,                0.09141,                    nan,                    nan,                    nan,             8.4016e-06,             8.4016e-06,             8.4016e-06
                     19,                 1.5053,                 1.9236,                 1.5479,                0.40659,                0.23962,                0.21276,                0.09122,                    nan,                    nan,                    nan,             8.3017e-06,             8.3017e-06,             8.3017e-06
                     20,                 1.4972,                 1.8891,                 1.5453,                0.42488,                0.26779,                0.22265,                0.09343,                    nan,                    nan,                    nan,             8.2018e-06,             8.2018e-06,             8.2018e-06
                     21,                 1.4777,                 1.8769,                 1.5284,                0.44304,                0.23194,                0.21106,                0.09031,                    nan,                    nan,                    nan,             8.1019e-06,             8.1019e-06,             8.1019e-06
                     22,                 1.4535,                 1.8366,                 1.5132,                0.49944,                0.26608,                0.22972,                0.09583,                    nan,                    nan,                    nan,              8.002e-06,              8.002e-06,              8.002e-06
                     23,                 1.4957,                 1.8616,                 1.5404,                0.44654,                0.22223,                0.21195,                0.09036,                    nan,                    nan,                    nan,             7.9021e-06,             7.9021e-06,             7.9021e-06
                     24,                  1.438,                 1.8205,                 1.5068,                0.45857,                0.26082,                0.22307,                0.09312,                    nan,                    nan,                    nan,             7.8022e-06,             7.8022e-06,             7.8022e-06
                     25,                 1.4446,                 1.8382,                 1.5104,                0.51837,                0.27888,                0.24264,                0.10629,                    nan,                    nan,                    nan,             7.7023e-06,             7.7023e-06,             7.7023e-06
                     26,                 1.4544,                 1.7995,                 1.5119,                0.49702,                0.27086,                0.24485,                0.10038,                    nan,                    nan,                    nan,             7.6024e-06,             7.6024e-06,             7.6024e-06
                     27,                 1.4228,                 1.7715,                 1.4928,                0.49781,                 0.2682,                0.24317,                0.09838,                    nan,                    nan,                    nan,             7.5025e-06,             7.5025e-06,             7.5025e-06
                     28,                 1.4221,                 1.7838,                 1.4908,                0.55006,                0.26678,                0.25169,                0.10537,                    nan,                    nan,                    nan,             7.4026e-06,             7.4026e-06,             7.4026e-06
                     29,                 1.4517,                 1.7933,                   1.51,                0.47165,                0.29151,                0.25175,                0.10543,                    nan,                    nan,                    nan,             7.3027e-06,             7.3027e-06,             7.3027e-06
                     30,                 1.4125,                   1.78,                 1.4984,                0.50359,                0.28503,                0.25824,                0.10929,                    nan,                    nan,                    nan,             7.2028e-06,             7.2028e-06,             7.2028e-06
                     31,                 1.4084,                 1.7187,                 1.4807,                0.49417,                0.28597,                0.26034,                0.10685,                    nan,                    nan,                    nan,             7.1029e-06,             7.1029e-06,             7.1029e-06
                     32,                  1.455,                 1.7833,                 1.4956,                0.51924,                 0.2833,                0.25335,                0.10802,                    nan,                    nan,                    nan,              7.003e-06,              7.003e-06,              7.003e-06
                     33,                 1.4219,                 1.7336,                 1.4861,                0.52369,                0.27928,                0.25153,                0.11218,                    nan,                    nan,                    nan,             6.9031e-06,             6.9031e-06,             6.9031e-06
                     34,                 1.4042,                 1.7343,                 1.4749,                0.50772,                 0.2971,                 0.2553,                 0.1137,                    nan,                    nan,                    nan,             6.8032e-06,             6.8032e-06,             6.8032e-06
                     35,                 1.4248,                 1.7355,                 1.4898,                0.52851,                0.29209,                0.26484,                0.11125,                    nan,                    nan,                    nan,             6.7033e-06,             6.7033e-06,             6.7033e-06
                     36,                 1.4393,                 1.7179,                 1.4886,                0.58668,                0.27046,                0.26618,                0.11013,                    nan,                    nan,                    nan,             6.6034e-06,             6.6034e-06,             6.6034e-06
                     37,                 1.3953,                 1.7359,                 1.4681,                0.55036,                0.29821,                0.26085,                0.11034,                    nan,                    nan,                    nan,             6.5035e-06,             6.5035e-06,             6.5035e-06
                     38,                  1.409,                 1.7126,                 1.4719,                0.57251,                0.29212,                0.26908,                 0.1121,                    nan,                    nan,                    nan,             6.4036e-06,             6.4036e-06,             6.4036e-06
                     39,                 1.3939,                 1.7062,                 1.4651,                0.57177,                  0.297,                0.27541,                0.12105,                    nan,                    nan,                    nan,             6.3037e-06,             6.3037e-06,             6.3037e-06
                     40,                 1.4476,                 1.7224,                  1.486,                0.53557,                 0.2651,                0.25864,                0.10916,                    nan,                    nan,                    nan,             6.2038e-06,             6.2038e-06,             6.2038e-06
                     41,                 1.3569,                  1.658,                 1.4456,                0.56513,                0.28302,                0.26864,                0.11681,                    nan,                    nan,                    nan,             6.1039e-06,             6.1039e-06,             6.1039e-06
                     42,                 1.4482,                 1.7118,                 1.4853,                0.54059,                0.29652,                0.26927,                0.11441,                    nan,                    nan,                    nan,              6.004e-06,              6.004e-06,              6.004e-06
                     43,                  1.416,                 1.6905,                 1.4698,                0.66071,                 0.2536,                0.26726,                0.11118,                    nan,                    nan,                    nan,             5.9041e-06,             5.9041e-06,             5.9041e-06
