                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5816,                 2.0068,                 1.5583,                0.36635,                0.23183,                0.20079,                  0.094,                    nan,                    nan,                    nan,               0.066829,             3.3175e-06,             3.3175e-06
                      2,                 1.4619,                 1.7848,                 1.4932,                0.34174,                0.25896,                0.20447,                0.08332,                    nan,                    nan,                    nan,               0.033499,             6.6176e-06,             6.6176e-06
                      3,                 1.4429,                 1.7374,                 1.4695,                0.57915,                 0.2432,                0.24436,                0.10395,                    nan,                    nan,                    nan,             0.00016861,             9.8844e-06,             9.8844e-06
                      4,                 1.4153,                 1.6836,                 1.4539,                0.49118,                0.26779,                0.24923,                0.11391,                    nan,                    nan,                    nan,             9.8502e-06,             9.8502e-06,             9.8502e-06
                      5,                 1.3846,                 1.6323,                 1.4457,                0.39709,                0.27012,                0.23245,                0.10575,                    nan,                    nan,                    nan,             9.8502e-06,             9.8502e-06,             9.8502e-06
                      6,                 1.4009,                 1.6515,                   1.45,                0.44495,                0.28558,                0.25115,                0.11461,                    nan,                    nan,                    nan,             9.8002e-06,             9.8002e-06,             9.8002e-06
                      7,                 1.3754,                   1.58,                 1.4282,                 0.5063,                0.23234,                0.24861,                 0.1124,                    nan,                    nan,                    nan,             9.7503e-06,             9.7503e-06,             9.7503e-06
                      8,                 1.3829,                   1.61,                 1.4338,                0.40029,                0.30362,                0.25708,                0.11003,                    nan,                    nan,                    nan,             9.7003e-06,             9.7003e-06,             9.7003e-06
                      9,                 1.3742,                 1.6123,                 1.4323,                0.36579,                0.32926,                0.25674,                 0.1129,                    nan,                    nan,                    nan,             9.6503e-06,             9.6503e-06,             9.6503e-06
                     10,                 1.3808,                 1.6007,                 1.4327,                 0.4442,                0.28101,                0.25463,                0.11018,                    nan,                    nan,                    nan,             9.6004e-06,             9.6004e-06,             9.6004e-06
                     11,                 1.3848,                  1.625,                 1.4239,                0.43907,                0.31739,                0.27021,                0.12843,                    nan,                    nan,                    nan,             9.5504e-06,             9.5504e-06,             9.5504e-06
                     12,                 1.3809,                 1.5993,                 1.4281,                0.46067,                0.27176,                0.26274,                0.11822,                    nan,                    nan,                    nan,             9.5005e-06,             9.5005e-06,             9.5005e-06
                     13,                 1.3642,                 1.5788,                 1.4058,                0.48777,                0.31165,                0.29924,                0.12927,                    nan,                    nan,                    nan,             9.4506e-06,             9.4506e-06,             9.4506e-06
                     14,                  1.348,                 1.5667,                 1.4159,                0.48042,                0.29741,                0.28733,                0.12866,                    nan,                    nan,                    nan,             9.4006e-06,             9.4006e-06,             9.4006e-06
                     15,                 1.3511,                 1.5381,                 1.4155,                0.51279,                 0.2592,                 0.2571,                0.11638,                    nan,                    nan,                    nan,             9.3507e-06,             9.3507e-06,             9.3507e-06
                     16,                 1.3595,                  1.527,                 1.4051,                0.38759,                0.29614,                0.24979,                0.11667,                    nan,                    nan,                    nan,             9.3007e-06,             9.3007e-06,             9.3007e-06
                     17,                 1.3425,                 1.5172,                  1.399,                0.54994,                0.24971,                0.26549,                0.12652,                    nan,                    nan,                    nan,             9.2508e-06,             9.2508e-06,             9.2508e-06
                     18,                 1.3513,                 1.5261,                 1.3989,                0.55663,                0.27327,                0.27894,                0.13215,                    nan,                    nan,                    nan,             9.2008e-06,             9.2008e-06,             9.2008e-06
                     19,                 1.3608,                 1.5311,                 1.4066,                0.42895,                0.28108,                0.24627,                 0.1235,                    nan,                    nan,                    nan,             9.1509e-06,             9.1509e-06,             9.1509e-06
                     20,                 1.3575,                 1.5327,                 1.4084,                0.52038,                 0.2699,                0.27585,                0.12523,                    nan,                    nan,                    nan,             9.1009e-06,             9.1009e-06,             9.1009e-06
                     21,                  1.352,                 1.5044,                 1.4073,                  0.526,                  0.304,                0.28742,                0.12628,                    nan,                    nan,                    nan,              9.051e-06,              9.051e-06,              9.051e-06
                     22,                 1.3212,                 1.4931,                 1.3884,                 0.5748,                0.28142,                0.29162,                0.13121,                    nan,                    nan,                    nan,              9.001e-06,              9.001e-06,              9.001e-06
                     23,                 1.3666,                 1.5194,                 1.4164,                0.54677,                0.25105,                0.25634,                0.12703,                    nan,                    nan,                    nan,             8.9511e-06,             8.9511e-06,             8.9511e-06
                     24,                 1.3068,                 1.4708,                 1.3853,                 0.5524,                0.27656,                0.28696,                0.12858,                    nan,                    nan,                    nan,             8.9011e-06,             8.9011e-06,             8.9011e-06
                     25,                 1.3181,                 1.4875,                 1.3868,                0.52057,                0.29825,                0.28252,                0.12485,                    nan,                    nan,                    nan,             8.8512e-06,             8.8512e-06,             8.8512e-06
