                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0619,                  2.934,                 2.0884,                  0.133,                0.21953,                0.05228,                0.02374,                    nan,                    nan,                    nan,               0.067236,             0.00033095,             0.00033095
                      2,                 1.9285,                 2.4713,                 1.9841,                0.14152,                0.28066,                0.09232,                 0.0346,                    nan,                    nan,                    nan,               0.034229,             0.00065771,             0.00065771
                      3,                 1.9285,                 2.3139,                 1.9857,                0.33227,                0.15207,                0.09557,                0.04727,                    nan,                    nan,                    nan,               0.001216,             0.00097787,             0.00097787
                      4,                 1.8763,                 2.2778,                 1.9664,                0.22504,                0.25627,                0.12973,                0.05708,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.8573,                 2.2228,                 1.9156,                0.40227,                0.25128,                0.12997,                0.05762,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7614,                 2.0762,                 1.8588,                0.15177,                0.34845,                0.09541,                0.04087,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7474,                 2.0023,                 1.8354,                0.36317,                0.28774,                0.19615,                0.07899,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7153,                 1.9223,                 1.8127,                0.27434,                0.33102,                0.15167,                0.07125,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6893,                 1.9491,                 1.8153,                 0.3213,                0.32211,                0.16472,                0.07711,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6328,                 1.7517,                 1.7252,                0.40472,                0.28648,                0.25249,                0.11029,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6674,                 1.8044,                 1.7741,                 0.3247,                0.29287,                0.18398,                0.08145,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6012,                 1.7561,                 1.7256,                0.25312,                0.36277,                0.16813,                0.07665,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.5712,                 1.7166,                 1.7044,                0.30295,                0.33215,                0.18135,                0.09231,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5341,                  1.631,                  1.655,                0.27571,                0.28945,                0.15581,                0.07551,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5492,                 1.6345,                 1.6655,                0.39102,                0.31666,                0.21004,                 0.0985,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5128,                 1.5979,                  1.642,                0.28202,                0.32222,                0.17178,                0.07821,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4954,                 1.5073,                 1.6159,                0.30535,                0.33943,                0.19524,                0.09444,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4512,                 1.4336,                 1.5888,                0.25377,                0.25211,                0.15481,                0.07274,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4536,                 1.4303,                 1.5922,                0.30955,                0.31756,                0.16859,                0.08297,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4569,                 1.4305,                 1.5949,                0.36755,                0.26902,                0.19983,                0.08974,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
