                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7662,                 2.8608,                 1.9388,                0.52626,                0.05247,                0.05188,                0.02491,                    nan,                    nan,                    nan,               0.067157,             0.00033175,             0.00033175
                      2,                 1.7028,                  2.574,                 1.9464,                0.21599,                 0.1557,                0.10739,                 0.0418,                    nan,                    nan,                    nan,               0.034151,              0.0006585,              0.0006585
                      3,                 1.7435,                 2.5571,                 1.9451,                0.38373,                0.19929,                0.09447,                 0.0351,                    nan,                    nan,                    nan,              0.0011374,             0.00097864,             0.00097864
                      4,                 1.6775,                 2.4653,                 1.8896,                0.22595,                0.13523,                0.09659,                0.04096,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.637,                 2.3465,                 1.8653,                 0.2015,                0.21057,                0.13614,                0.05809,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.637,                 2.3109,                 1.8292,                0.45478,                0.22568,                0.22436,                0.10374,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5767,                 2.2264,                 1.8072,                0.44793,                0.15629,                0.15921,                0.06689,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5596,                 2.2001,                 1.7789,                0.49519,                0.17815,                0.18953,                0.08577,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5404,                  2.142,                 1.7747,                0.49633,                0.21656,                0.19703,                0.08708,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4828,                 2.0892,                 1.7574,                0.32008,                0.25056,                0.17519,                0.08182,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5179,                 2.0877,                 1.7566,                 0.3992,                 0.2226,                0.16125,                0.07796,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.489,                 2.0547,                 1.7447,                0.30453,                0.29079,                0.16845,                0.07834,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.4912,                 1.9927,                 1.7242,                0.27046,                0.25001,                0.16105,                 0.0781,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4425,                 1.9346,                 1.7064,                0.33652,                 0.2219,                0.13016,                0.05773,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4643,                 1.9456,                 1.7293,                0.42953,                0.25977,                0.17574,                0.08273,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4285,                  1.863,                  1.684,                0.41185,                0.31403,                0.20835,                 0.0935,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
