                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8991,                 2.9766,                 2.0209,                0.06681,                0.08981,                0.04233,                0.01887,                    nan,                    nan,                    nan,               0.067236,             0.00033095,             0.00033095
                      2,                 1.8356,                 2.6803,                 1.9888,                0.10641,                0.09688,                0.04332,                0.01863,                    nan,                    nan,                    nan,               0.034229,             0.00065771,             0.00065771
                      3,                 1.8426,                 2.5836,                 1.9749,                0.22002,                0.16244,                0.09272,                0.03983,                    nan,                    nan,                    nan,               0.001216,             0.00097787,             0.00097787
                      4,                 1.7639,                 2.5039,                 1.9171,                0.20211,                0.18823,                0.11053,                0.03686,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7489,                 2.4304,                 1.9222,                0.26369,                0.20286,                0.14453,                0.05821,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7822,                 2.3807,                 1.9543,                0.45948,                0.26983,                0.21505,                0.09628,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7207,                 2.2766,                 1.8756,                0.21646,                0.21951,                0.11459,                0.04722,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6832,                 2.1665,                 1.8354,                0.33093,                0.21588,                0.13752,                0.06135,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6956,                 2.2273,                 1.8758,                  0.496,                0.29185,                0.24586,                0.10798,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6381,                 2.1181,                 1.7943,                0.38772,                0.26151,                0.20293,                0.09342,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                   1.66,                 2.1721,                 1.8139,                0.30439,                 0.2686,                0.14396,                0.06606,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5813,                 2.0748,                 1.7632,                0.25015,                0.25243,                0.14898,                0.06671,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                  1.575,                 2.0484,                 1.7737,                0.50231,                0.25253,                0.17685,                0.09084,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5727,                 1.9896,                 1.7444,                0.41147,                0.24965,                0.17408,                 0.0845,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5317,                 1.9389,                 1.7231,                0.48543,                0.24738,                0.21123,                0.10262,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5633,                 1.9553,                 1.7556,                0.33779,                0.28026,                0.18727,                0.09446,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5352,                 1.9282,                 1.7296,                0.37832,                0.24275,                0.18799,                0.08778,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4915,                 1.8826,                 1.7159,                0.32486,                0.30673,                 0.1771,                 0.0874,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5009,                 1.8528,                 1.6917,                0.22686,                0.39861,                0.21058,                0.09927,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
