                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1405,                 3.1195,                  2.101,                0.40274,                 0.1213,                0.04137,                0.01214,                    nan,                    nan,                    nan,               0.067471,             0.00032857,             0.00032857
                      2,                  2.011,                 2.6094,                 2.0115,                 0.0888,                0.26221,                0.05264,                0.02082,                    nan,                    nan,                    nan,               0.034465,             0.00065535,             0.00065535
                      3,                 1.9539,                 2.4829,                 1.9848,                0.11055,                  0.238,                0.07835,                0.03053,                    nan,                    nan,                    nan,              0.0014517,             0.00097553,             0.00097553
                      4,                 1.9133,                 2.3354,                 2.0025,                0.33081,                0.20228,                0.17473,                0.07604,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9321,                 2.3475,                 1.9641,                0.17614,                0.25266,                 0.1057,                0.04654,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.863,                 2.2408,                  1.899,                0.44786,                0.22183,                0.19756,                0.08055,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8591,                 2.1889,                 1.8898,                0.21677,                0.17319,                0.10871,                0.04907,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7894,                 2.0927,                 1.8424,                0.25943,                0.24807,                0.12628,                 0.0569,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.7546,                 2.0291,                 1.8189,                0.26095,                0.28772,                 0.1862,                0.08565,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                  1.747,                 1.9723,                 1.8078,                0.30067,                 0.2963,                 0.1202,                0.05617,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.7741,                 1.9575,                 1.8432,                0.25941,                0.23905,                0.13643,                0.05778,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.7364,                 1.9465,                 1.8346,                0.28152,                0.34728,                0.20323,                0.09311,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                  1.724,                 1.8998,                 1.7926,                0.25084,                0.35192,                 0.1778,                0.07548,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6845,                 1.8994,                 1.7813,                0.36254,                0.31465,                0.19286,                0.09012,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6448,                 1.8122,                 1.7516,                0.26088,                0.39364,                0.18004,                 0.0782,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6708,                 1.7823,                 1.7341,                0.35808,                0.21613,                0.12936,                0.05422,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6473,                 1.7968,                 1.7144,                0.33934,                 0.3059,                0.18727,                0.08419,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5736,                 1.6754,                 1.6575,                0.29965,                0.33929,                 0.1737,                0.08001,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
